name,ID,att,def,price,floor,rarity,abilities,swings,specialType,spellIndex,spellID,charges,guilds,levelScale,damageMod,alignmentFlags,nHands,type,resistanceFlags,StrReq,IntReq,WisReq,ConReq,ChaReq,DexReq,StrMod,IntMod,WisMod,ConMod,ChaMod,DexMod,cursed,spellLvl,classRestricted
Adamantite Mace,45,9,0,4566756,5,25,0,2,0,0,0,0,167,15,1.6,14,1,5,0,16,0,0,0,0,16,0,0,0,0,0,0,0,0,-1
Mithril Mace,46,12,0,16877644,7,15,16,3,0,0,0,0,167,25,1.7,14,1,5,0,16,0,0,0,0,16,0,0,0,0,0,0,0,0,-1
Mace of Disruption,47,15,0,67455320,13,10,16,3,0,0,0,0,167,50,1.8,14,1,5,0,18,0,0,18,0,18,0,0,0,0,0,0,0,0,-1
Warlord's Mace,48,21,0,178677536,15,2,16,3,0,0,0,0,167,65,1.9,14,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1
Leather Armor,49,0,3,125,0,1,0,0,0,0,0,0,4095,0,1,1,0,8,0,3,0,0,0,0,5,0,0,0,0,0,0,0,0,-1
Padded Leather Armor,50,0,6,367455,1,40,0,0,0,0,0,0,4095,1,1,14,0,8,0,10,0,0,0,0,10,0,0,0,0,0,0,0,0,-1
Suede Leather Armor,51,0,9,567344,2,35,0,0,0,0,0,0,4095,5,1.4,14,0,8,0,10,0,0,0,0,10,0,0,0,0,0,0,0,0,-1
Studded Leather Armor,52,0,12,3455321,3,27,0,0,0,0,0,0,4095,10,1.6,14,0,8,0,12,0,0,0,0,12,0,0,0,0,0,0,0,0,-1
Cuirboulli Armor,53,0,15,6544341,7,20,0,0,0,0,0,0,4095,20,2.1,14,0,8,0,14,0,0,0,0,14,0,0,0,0,0,0,0,0,-1
Studded Cuirboulli,54,0,18,8345623,9,10,0,0,0,0,0,0,4095,30,2.3,14,0,8,0,16,0,0,12,0,16,0,0,0,0,0,0,0,0,-1
Thief's Armor,55,0,33,234544320,15,1,0,0,0,0,0,0,192,60,2.9,14,0,8,0,6,6,0,9,0,10,0,0,0,0,0,0,0,0,-1
Ninja's Armor,56,0,24,198566432,15,1,0,0,0,0,0,0,4095,60,2.9,14,0,8,0,8,0,0,8,0,10,0,0,0,0,0,0,0,0,-1
Magician's Armor,57,0,45,206566432,15,1,0,0,0,0,0,0,3840,60,2.9,14,0,8,0,10,10,0,10,0,10,0,0,0,0,0,0,0,0,-1
Bronze Chain Mail,58,0,9,18325,0,54,0,0,0,0,0,0,183,0,1.00259,1,0,9,0,10,0,0,0,0,10,0,0,0,0,0,-1,0,0,-1
Iron Chain Mail,59,0,15,506433,1,50,0,0,0,0,0,0,183,5,1.4,14,0,9,0,12,0,0,0,0,12,0,0,0,0,0,-1,0,0,-1
Black Chain Mail,60,0,-9,1544321,1,15,0,0,0,0,0,0,183,3,1.2,1,0,9,0,0,0,0,0,0,0,0,0,0,0,-2,1,0,-1
Steel Chain Mail,61,0,18,3455645,3,35,0,0,0,0,0,0,183,10,1.6,14,0,9,0,14,0,0,0,0,14,0,0,0,0,0,-1,0,0,-1
Adamantite Chain,62,0,21,8235123,5,25,0,0,0,0,0,0,183,23,2.1,14,0,9,0,15,6,0,6,0,15,0,0,0,0,0,-1,0,0,-1
Mithril Chain Mail,63,0,24,19455320,7,15,0,0,0,0,0,0,183,35,2.5,14,0,9,0,16,6,0,6,0,16,0,0,0,0,0,-1,0,0,-1
Spectral Chain Mail,64,0,27,78455640,11,2,0,0,0,0,0,0,183,50,2.7,14,0,9,0,9,6,0,9,0,6,0,0,0,0,0,-1,0,0,-1
Bronze Plate Mail,65,6,9,21825,0,1,0,0,0,0,0,0,39,0,1,1,0,10,0,10,0,0,0,0,10,0,0,0,0,0,-2,0,0,-1
Ulsik Plate Mail,66,-3,-9,2455341,1,15,0,0,0,0,0,0,39,0,1,1,0,10,0,12,9,0,12,0,9,0,0,0,0,0,-3,1,0,-1
Iron Plate Mail,67,6,15,1567433,2,40,0,0,0,0,0,0,39,5,1.4,14,0,10,0,12,0,0,0,0,12,0,0,0,0,0,-2,0,0,-1
Steel Plate Mail,68,9,15,8677435,4,25,0,0,0,0,0,0,39,10,1.6,14,0,10,0,14,0,0,0,0,14,0,0,0,0,0,-2,0,0,-1
Adamantite Plate,69,12,18,12543212,6,15,0,0,0,0,0,0,39,23,2.1,14,0,10,0,16,9,0,12,0,16,0,0,0,0,0,-2,0,0,-1
Mithril Plate Armor,70,15,21,25677432,9,5,0,0,0,0,0,0,39,35,2.5,14,0,10,0,18,9,0,12,0,18,0,0,0,0,0,-2,0,0,-1
Spectral Plate Armor,71,18,24,48344320,13,2,0,0,0,0,0,0,39,50,2.7,14,0,10,0,18,9,0,12,0,18,0,0,0,0,0,-2,0,0,-1
Warrior's Armor,72,21,30,256433232,15,1,0,0,0,0,0,0,3,75,3.1,14,0,10,0,20,9,0,18,0,20,0,0,0,0,0,-2,0,0,-1
Paladin's Armor,73,6,33,287455328,15,1,0,0,0,0,0,0,39,70,3,14,0,10,0,14,6,0,9,0,14,0,0,0,0,0,-2,0,0,-1
Copper Helm,74,0,3,75,0,30,0,0,0,0,0,0,183,0,1,1,0,13,0,2,0,0,0,0,3,0,0,0,0,0,0,0,0,-1
Bronze Helmet,75,0,6,12435,0,41,0,0,0,0,0,0,183,1,1,1,0,13,0,9,0,0,0,0,8,0,0,0,0,0,0,0,0,-1
Iron Helmet,76,0,6,89456,2,50,0,0,0,0,0,0,183,3,1.2,14,0,13,0,10,0,0,0,0,10,0,1,0,0,0,0,0,0,-1
Steel Helmet,77,0,9,873232,3,35,0,0,0,0,0,0,183,7,1.5,14,0,13,0,12,0,0,0,0,12,0,1,0,0,0,0,0,0,-1
Helm of Astral Projection,78,0,3,5213451,5,2,0,0,0,80,66,10,4095,10,1.6,14,0,13,0,14,16,16,0,0,14,0,0,0,0,0,0,0,75,-1
Adamantite Helmet,79,0,12,3265428,5,15,8,0,0,0,0,0,183,15,1.9,14,0,13,0,12,0,0,0,0,12,0,1,0,0,0,0,0,0,-1
Helm of Sight,80,0,6,10326543,6,15,8,0,0,0,0,0,4095,17,1.9,14,0,13,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,-1
Mithril Helmet,81,3,18,27154298,7,10,8,0,0,0,0,0,183,25,2.2,14,0,13,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,-1
Helm of Knowledge,82,6,6,89566432,12,2,8,0,0,0,0,0,4095,40,2.6,14,0,13,0,14,18,18,16,0,16,0,3,3,0,0,0,0,0,-1
Helm of Brilliance,83,12,24,128455328,14,2,8,0,0,78,65,40,183,55,2.8,14,0,13,0,18,18,18,16,0,18,0,1,1,0,0,0,0,210,-1
Cross of Redemption,84,-6,-3,784532,1,10,0,1,0,0,0,0,4095,2,0.1,1,1,2,0,10,16,16,0,0,15,0,0,0,0,0,0,1,0,-1
Silver Cross,85,3,3,5516133,2,5,0,2,0,0,0,0,3840,2,1.5,14,1,2,0,12,14,14,12,0,12,0,0,0,0,0,0,0,0,-1
Cross of Life,86,3,3,13237651,6,3,0,1,0,59,49,2,4095,0,1,14,1,2,0,0,7,17,9,0,10,0,0,0,0,0,0,0,90,-1
Cross of Commanding,87,6,6,12386539,7,20,0,4,0,45,37,42,3840,15,1.7,14,1,2,0,14,16,16,14,0,16,0,0,0,0,0,0,0,90,-1
